"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"    Moldova",,,,"0.056 ","0.273 ","1.084 ","0.791 ","0.267 ","0.015 ","0.907 ","0.150 ","1.531 ","1.848 ","0.297 ","0.155 ","0.102 ","0.984 ","1.026 ","0.012 ","4.782 ","0.055 ","0.120 ","reproductive health"
"    Montenegro",,,,,,,,,,,,,"0.260 ",,"0.022 ",,,,,,,,"reproductive health"
"    Serbia",,,,,"0.696 ","2.622 ","4.971 ","5.040 ","0.198 ","2.681 ","2.547 ","0.933 ","1.044 ","1.200 ","0.029 ","0.245 ","0.139 ","0.252 ","0.312 ","0.128 ","0.113 ","0.080 ","reproductive health"
"    Slovenia",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"    States Ex-Yugoslavia unspecified",,,,,,,,,"0.651 ","0.241 ",,"0.285 ","0.197 ","0.150 ",,,,"0.026 ","0.086 ",,,,"reproductive health"
"    Turkey",,,"0.457 ","1.595 ","2.783 ",,,,,"0.050 ","0.018 ","0.033 ",,"0.149 ","0.079 ","0.007 ",,,,"0.017 ","0.091 ","0.045 ","reproductive health"
"    Ukraine",,,,,,,,,,,"13.390 ","7.834 ","9.605 ","18.141 ","10.015 ","12.208 ","17.656 ","23.604 ","16.179 ","19.120 ","26.736 ","24.656 ","reproductive health"
"    Europe, regional",,,,,,"0.536 ","1.761 ","0.193 ","4.787 ","22.319 ","10.090 ","7.402 ","5.612 ","1.759 ","0.884 ","3.047 ","0.279 ","0.110 ","0.215 ","0.027 ","0.012 ",,"reproductive health"
"  Africa, Total","312.735 ","274.731 ","340.943 ","331.770 ","438.579 ","970.257 ","680.708 ","871.465 ","1,098.985 ","1,659.041 ","1,640.149 ","2,127.383 ","3,342.964 ","4,540.987 ","4,416.070 ","3,569.799 ","4,360.444 ","3,900.467 ","4,291.290 ","3,562.841 ","4,347.344 ","4,666.198 ","reproductive health"
"    North of Sahara, Total","23.912 ","58.350 ","18.402 ","59.072 ","48.881 ","62.235 ","55.162 ","35.995 ","61.462 ","44.560 ","17.698 ","33.008 ","40.919 ","22.454 ","21.396 ","23.035 ","6.314 ","8.397 ","5.547 ","15.277 ","11.214 ","14.379 ","reproductive health"
"      Algeria",,,,,"0.012 ",,"0.026 ",,,,,"0.393 ","0.572 ","0.226 ","1.083 ","0.842 ","0.520 ","0.117 ","0.087 ","0.070 ","0.056 ","0.069 ","reproductive health"
"      Egypt","23.912 ","54.387 ","12.970 ","41.068 ","42.609 ","50.827 ","47.056 ","32.636 ","57.897 ","41.984 ","15.403 ","26.117 ","34.053 ","20.778 ","17.779 ","11.991 ","3.371 ","2.977 ","4.811 ","14.090 ","9.870 ","4.989 ","reproductive health"
"      Libya",,,,,,,,,,,"0.003 ",,"0.388 ","0.323 ",,,,,,,"0.014 ",,"reproductive health"
"      Morocco",,"3.962 ","5.432 ","17.880 ","6.233 ","11.403 ","7.644 ","3.358 ","3.200 ","2.094 ","2.273 ","4.708 ","4.674 ","0.938 ","2.104 ","5.514 ","2.141 ","4.881 ","0.502 ","0.615 ","1.035 ","1.014 ","reproductive health"
"      Tunisia",,,,"0.032 ","0.027 ","0.006 ",,,"0.347 ","0.348 ","0.010 ","0.248 ","0.074 ","0.027 ","0.052 ","0.196 ","0.276 ","0.397 ","0.146 ","0.457 ","0.229 ","0.049 ","reproductive health"
"      North of Sahara, regional",,,,"0.093 ",,,"0.436 ",,"0.016 ","0.134 ","0.008 ","1.542 ","1.159 ","0.161 ","0.377 ","4.492 ","0.006 ","0.024 ","0.000 ","0.045 ","0.010 ","8.258 ","reproductive health"
"    South of Sahara, Total","255.752 ","207.196 ","269.847 ","269.038 ","346.983 ","811.481 ","610.405 ","789.699 ","1,017.526 ","1,497.318 ","1,610.775 ","2,074.977 ","3,276.435 ","4,498.183 ","4,366.358 ","3,503.131 ","4,341.653 ","3,832.126 ","4,270.954 ","3,534.406 ","4,299.878 ","4,643.186 ","reproductive health"
"      Angola","0.492 ","1.071 ","6.807 ","1.071 ","0.866 ","6.939 ","2.440 ","10.040 ","11.538 ","24.228 ","15.529 ","15.179 ","13.192 ","14.444 ","14.656 ","26.333 ","21.223 ","19.375 ","20.623 ","20.122 ","21.514 ","16.846 ","reproductive health"
"      Benin","1.154 ","1.782 ","0.560 ","3.110 ","5.768 ","5.889 ","11.417 ","6.429 ","5.407 ","9.856 ","3.911 ","6.578 ","6.964 ","9.395 ","16.434 ","10.460 ","9.202 ","23.982 ","6.693 ","15.899 ","23.841 ","17.217 ","reproductive health"
"      Botswana","4.373 ","0.143 ","1.173 ","0.121 ","0.049 ","0.084 ","1.491 ","13.360 ","13.547 ","24.769 ","40.238 ","45.128 ","254.081 ","235.160 ","104.653 ","62.060 ","96.995 ","52.447 ","59.458 ","42.146 ","42.487 ","41.755 ","reproductive health"
"      Burkina Faso","4.001 ","0.054 ","0.356 ","12.284 ","5.503 ","7.301 ","5.733 ","18.311 ","4.159 ","15.224 ","8.682 ","16.231 ","19.794 ","10.908 ","6.425 ","9.121 ","4.439 ","19.409 ","11.763 ","1.333 ","0.957 ","10.191 ","reproductive health"
"      Burundi",,,,,,"1.315 ","0.130 ","2.861 ","1.087 ","0.747 ","5.035 ","11.433 ","7.080 ","8.410 ","12.292 ","13.515 ","15.727 ","16.354 ","32.481 ","20.848 ","20.422 ","30.830 ","reproductive health"
"      Cabo Verde",,,"0.161 ",,"0.002 ","0.170 ","0.133 ","1.437 ","0.109 ","0.218 ","0.112 ","0.071 ",,"0.055 ","0.148 ","1.328 ","0.006 ",,,,"0.004 ","0.216 ","reproductive health"
"      Cameroon",,,"0.402 ",,,"6.248 ","0.198 ","1.703 ","0.428 ","7.726 ","0.452 ","1.955 ","4.730 ","4.784 ","6.501 ","8.981 ","17.576 ","21.495 ","17.807 ","50.608 ","30.110 ","34.187 ","reproductive health"
"      Central African Republic","3.461 ",,,"1.457 ","0.241 ","0.661 ","0.803 ",,,"0.040 ",,,,"0.019 ","0.121 ","0.812 ","0.966 ","0.810 ","0.358 ","0.603 ","0.415 ","1.659 ","reproductive health"
"      Chad","4.923 ",,"5.495 ",,,,"7.304 ","0.009 ","0.011 ","0.262 ","4.706 ","0.124 ","0.105 ","1.132 ","2.568 ","0.796 ","0.927 ","2.256 ","11.934 ","3.230 ","0.788 ","0.382 ","reproductive health"
"      Comoros",,,,,,,,,,,,,,"0.080 ","1.459 ","0.102 ","1.165 ","0.127 ","9.228 ","0.300 ","0.347 ","0.014 ","reproductive health"
"      Congo",,,"0.020 ",,,"0.189 ","0.320 ","1.517 ","0.263 ","0.248 ",,,"0.211 ","0.377 ","0.318 ","0.230 ","0.071 ","0.096 ","0.067 ","0.412 ","0.074 ","0.518 ","reproductive health"
"      Côte d'Ivoire","12.423 ",,"1.274 ","0.248 ",,"2.776 ","13.767 ","14.449 ","10.779 ","15.818 ","28.822 ","34.703 ","100.276 ","79.897 ","94.404 ","89.514 ","62.240 ","46.166 ","152.823 ","44.532 ","83.037 ","105.011 ","reproductive health"
"      Democratic Republic of the Congo","0.131 ","1.882 ","1.891 ","0.231 ","3.241 ","2.791 ","11.189 ","11.449 ","29.490 ","19.144 ","13.404 ","47.500 ","35.216 ","52.121 ","71.757 ","51.656 ","65.196 ","94.590 ","69.866 ","78.875 ","97.431 ","118.666 ","reproductive health"
"      Djibouti","1.509 ",,,,,,,"0.931 ","0.002 ",,"0.094 ","0.003 ","1.157 ","0.687 ","0.841 ","0.303 ","0.330 ","1.803 ","2.830 ","2.322 ","0.494 ","9.205 ","reproductive health"
"      Equatorial Guinea",,,,"0.019 ",,,"0.333 ",,,"0.106 ",,"0.339 ","0.191 ","0.921 ","1.166 ","0.112 ","0.018 ","0.057 ",,"0.045 ","0.121 ","0.133 ","reproductive health"
"      Eritrea","0.695 ","6.692 ","4.020 ","6.972 ","2.895 ","5.277 ","4.088 ","6.540 ","1.582 ","3.800 ","0.190 ","0.262 ","1.499 ","6.233 ","1.023 ","1.042 ","0.090 ","0.176 ","0.011 ","0.089 ","0.124 ","0.487 ","reproductive health"
"      Ethiopia","9.000 ","11.239 ","4.843 ","3.844 ","22.796 ","21.089 ","27.973 ","44.867 ","28.803 ","97.316 ","85.809 ","153.825 ","247.356 ","394.181 ","386.685 ","261.967 ","308.489 ","362.601 ","242.374 ","225.412 ","324.445 ","300.313 ","reproductive health"
"      Gabon",,"0.657 ",,,,,,"0.614 ",,,,,"4.430 ",,"0.223 ","0.265 ","0.941 ","0.471 ","0.602 ","0.652 ","0.147 ","0.399 ","reproductive health"
"      Gambia",,,,,"0.235 ",,,"0.198 ","0.187 ","0.026 ","0.095 ","0.150 ","0.172 ","0.156 ","0.299 ","0.204 ","0.173 ","0.086 ","2.123 ","3.768 ","1.303 ","0.237 ","reproductive health"
"      Ghana","1.516 ","4.679 ","12.508 ","1.042 ","17.631 ","14.675 ","79.242 ","9.621 ","6.734 ","17.421 ","8.046 ","35.864 ","28.740 ","28.494 ","33.342 ","38.816 ","37.746 ","52.537 ","36.761 ","44.120 ","27.057 ","45.185 ","reproductive health"
"      Guinea","4.782 ","5.428 ","18.954 ","6.368 ","7.472 ","9.579 ","6.431 ","11.822 ","22.351 ","8.172 ","8.307 ","4.874 ","6.798 ","18.878 ","13.786 ","8.668 ","8.068 ","7.389 ","17.606 ","19.366 ","14.628 ","32.864 ","reproductive health"
"      Guinea-Bissau","1.111 ",,"0.022 ","1.147 ",,"0.171 ",,"1.021 ","0.027 ","0.048 ","0.567 ","0.014 ","0.729 ","1.504 ","0.435 ","0.734 ","1.347 ","0.404 ","0.284 ","0.453 ","0.766 ","0.440 ","reproductive health"
"      Kenya","14.361 ","66.781 ","13.243 ","14.160 ","21.651 ","83.540 ","27.528 ","77.663 ","98.872 ","122.599 ","172.664 ","247.214 ","417.703 ","628.941 ","576.569 ","292.254 ","661.883 ","584.011 ","596.637 ","395.315 ","612.272 ","504.699 ","reproductive health"
"      Lesotho",,"0.085 ","0.123 ","0.061 ",,"3.060 ","1.685 ","2.484 ",,"1.147 ","14.354 ","3.057 ","10.214 ","22.730 ","20.725 ","32.923 ","44.213 ","27.935 ","30.811 ","33.858 ","35.780 ","57.100 ","reproductive health"
"      Liberia",,,,,"1.077 ","2.780 ","1.241 ","1.862 ","1.326 ","0.750 ","2.157 ","2.546 ","21.513 ","18.630 ","22.538 ","30.678 ","16.431 ","24.459 ","7.601 ","19.430 ","44.150 ","47.354 ","reproductive health"
"      Madagascar","12.237 ","5.811 ","7.627 ","10.279 ","5.531 ","6.460 ","10.416 ","9.396 ","4.835 ","5.668 ","3.384 ","2.776 ","14.750 ","18.711 ","15.763 ","17.353 ","18.311 ","28.442 ","15.368 ","22.639 ","22.011 ","26.651 ","reproductive health"
"      Malawi","17.980 ","11.181 ","50.374 ","13.803 ","69.435 ","45.260 ","30.270 ","36.852 ","38.738 ","31.142 ","41.908 ","37.201 ","43.924 ","71.761 ","61.259 ","100.999 ","116.942 ","108.177 ","145.913 ","110.517 ","134.537 ","128.487 ","reproductive health"
"      Mali","21.922 ","7.335 ","18.437 ","0.130 ","15.088 ","14.395 ","16.598 ","11.227 ","7.929 ","32.708 ","14.558 ","6.792 ","27.454 ","22.808 ","29.262 ","22.194 ","26.352 ","21.047 ","47.360 ","61.578 ","63.576 ","44.039 ","reproductive health"
"      Mauritania",,,"1.227 ",,,"1.339 ","0.832 ","0.655 ","0.396 ","0.459 ","0.060 ","0.726 ","0.786 ","0.256 ","2.351 ","2.598 ","0.514 ","4.293 ","0.566 ","0.837 ","1.229 ","0.801 ","reproductive health"
"      Mauritius",,,,,,,,,,,"0.000 ",,,,"0.003 ",,,"0.125 ",,,,,"reproductive health"
"      Mayotte",,,,,,,,,,,,,,,"0.392 ","1.934 ",,,,,,,"reproductive health"
"      Mozambique","2.298 ","21.251 ","15.860 ","29.529 ","31.326 ","27.068 ","67.002 ","54.612 ","39.220 ","69.824 ","116.671 ","132.859 ","193.583 ","252.808 ","254.698 ","211.788 ","289.502 ","167.288 ","329.687 ","216.028 ","382.362 ","321.148 ","reproductive health"
"      Namibia","2.654 ","0.360 ","6.258 ","0.096 ","1.014 ","3.923 ","6.352 ","9.028 ","21.454 ","32.813 ","51.785 ","65.573 ","93.487 ","115.723 ","114.062 ","89.948 ","106.197 ","80.455 ","56.373 ","45.126 ","47.846 ","41.184 ","reproductive health"
"      Niger","0.256 ","0.172 ","2.037 ","4.254 ","0.053 ","2.989 ","13.412 ","1.821 ","0.249 ","2.983 ","1.052 ","2.244 ","1.848 ","8.687 ","10.796 ","7.310 ","0.849 ","22.679 ","3.365 ","22.265 ","21.596 ","32.538 ","reproductive health"
"      Nigeria","9.022 ","2.249 ","0.731 ","56.662 ","9.334 ","268.835 ","34.427 ","60.227 ","113.076 ","270.106 ","118.442 ","156.524 ","334.820 ","618.872 ","491.968 ","296.642 ","362.651 ","349.756 ","391.132 ","389.154 ","374.935 ","387.139 ","reproductive health"
"      Rwanda","0.033 ","0.170 ","8.096 ","0.460 ","9.596 ","9.842 ","11.540 ","11.310 ","32.354 ","45.927 ","53.588 ","71.946 ","101.626 ","124.368 ","120.479 ","134.797 ","94.668 ","88.499 ","83.591 ","83.058 ","85.862 ","77.629 ","reproductive health"
"      Saint Helena",,,,,,,,,,,,,,"0.041 ",,,,,,,,,"reproductive health"
"      Sao Tome and Principe",,,,"0.074 ","0.012 ","0.023 ","0.047 ",,,"0.016 ",,,,"0.056 ","0.045 ","0.089 ","0.490 ","0.002 ","0.231 ","0.160 ","0.025 ","0.057 ","reproductive health"
"      Senegal","5.455 ","6.621 ","8.308 ","3.344 ","12.565 ","10.574 ","14.573 ","11.428 ","28.234 ","10.996 ","9.479 ","9.834 ","17.061 ","19.055 ","22.865 ","16.801 ","29.200 ","24.375 ","44.263 ","36.665 ","27.366 ","36.647 ","reproductive health"
"      Seychelles",,,,,,,,,,,,,,,"0.016 ",,,"0.005 ",,"0.004 ",,"0.011 ","reproductive health"
"      Sierra Leone",,"0.194 ",,"1.254 ",,"0.725 ","1.197 ","0.204 ",,"0.013 ","6.269 ","0.437 ","2.588 ","13.016 ","27.262 ","20.876 ","4.315 ","10.570 ","22.160 ","2.862 ","30.595 ","45.495 ","reproductive health"
"      Somalia","0.242 ","0.025 ",,,"0.557 ","0.875 ","0.110 ","0.266 ","1.280 ","1.694 ","1.432 ","0.795 ","0.900 ","0.864 ","3.527 ","1.643 ","1.798 ","30.508 ","3.775 ","54.019 ","2.714 ","82.024 ","reproductive health"
"      South Africa","8.590 ","4.170 ","1.554 ","12.028 ","11.700 ","34.112 ","24.984 ","20.906 ","116.698 ","122.737 ","179.777 ","275.297 ","435.392 ","617.942 ","625.113 ","546.951 ","651.838 ","374.981 ","515.830 ","365.480 ","330.412 ","561.788 ","reproductive health"
"      South Sudan",,,,,,,,,,,,,,,,,"32.438 ","54.881 ","51.742 ","53.479 ","76.860 ","55.487 ","reproductive health"
"      Sudan","0.153 ","0.362 ","0.226 ","2.217 ","0.290 ","0.026 ","0.012 ","1.299 ","0.006 ","7.240 ","6.246 ","11.525 ","17.884 ","27.578 ","38.263 ","40.040 ","29.808 ","9.540 ","4.686 ","2.468 ","2.306 ","1.539 ","reproductive health"
"      Swaziland","0.703 ",,,,,,"1.507 ","2.721 ","0.601 ","0.901 ","0.859 ","2.685 ","8.096 ","15.215 ","19.417 ","42.544 ","57.224 ","31.923 ","40.931 ","41.604 ","45.473 ","48.105 ","reproductive health"
"      Tanzania","17.407 ","19.601 ","20.328 ","32.571 ","26.042 ","35.753 ","47.843 ","53.137 ","53.826 ","92.206 ","151.589 ","156.734 ","212.701 ","313.649 ","331.769 ","322.498 ","375.794 ","296.733 ","362.041 ","304.867 ","418.376 ","405.871 ","reproductive health"
"      Togo","0.022 ","0.783 ",,,"0.940 ","0.619 ","0.110 ",,"0.081 ","0.258 ","0.555 ","0.160 ","4.818 ","0.487 ","1.786 ","0.776 ","0.713 ","1.225 ","3.315 ","3.693 ","1.124 ","9.898 ","reproductive health"
"      Uganda","17.828 ","10.444 ","7.892 ","4.628 ","29.285 ","31.142 ","36.729 ","67.201 ","44.565 ","126.342 ","156.070 ","215.033 ","262.641 ","331.404 ","309.800 ","288.375 ","344.244 ","271.273 ","380.119 ","274.303 ","376.517 ","367.956 ","reproductive health"
"      Zambia","28.620 ","5.381 ","9.073 ","11.118 ","12.373 ","37.305 ","24.912 ","61.813 ","120.781 ","79.688 ","123.181 ","120.176 ","181.105 ","255.284 ","241.796 ","251.833 ","223.529 ","199.142 ","250.588 ","232.855 ","224.152 ","297.389 ","reproductive health"
"      Zimbabwe","12.095 ","2.689 ","11.268 ","12.164 ","8.835 ","51.394 ","15.588 ","41.129 ","31.935 ","59.026 ","54.783 ","77.664 ","59.523 ","37.403 ","88.146 ","59.315 ","72.495 ","134.266 ","78.568 ","84.026 ","150.430 ","110.016 ","reproductive health"
"      South of Sahara, regional","34.302 ","7.904 ","28.702 ","22.294 ","13.579 ","54.287 ","48.498 ","95.276 ","124.566 ","134.905 ","105.912 ","100.945 ","79.297 ","94.056 ","166.152 ","82.952 ","126.318 ","162.904 ","108.609 ","102.980 ","96.856 ","185.379 ","reproductive health"
"    Africa, regional","33.071 ","9.185 ","52.693 ","3.660 ","42.716 ","96.541 ","15.141 ","45.771 ","19.997 ","117.163 ","11.676 ","19.398 ","25.609 ","20.349 ","28.316 ","43.633 ","12.476 ","59.945 ","14.789 ","13.157 ","36.253 ","8.633 ","reproductive health"
"  America, Total","16.142 ","48.679 ","119.396 ","144.756 ","154.549 ","137.507 ","223.128 ","178.423 ","198.967 ","192.325 ","169.268 ","227.841 ","286.095 ","389.235 ","296.422 ","303.117 ","334.174 ","281.597 ","238.439 ","270.686 ","289.889 ","242.030 ","reproductive health"
"    North & Central America, Total","6.039 ","35.309 ","50.727 ","66.743 ","84.508 ","75.105 ","146.861 ","127.445 ","124.987 ","136.094 ","130.957 ","187.150 ","189.431 ","266.814 ","200.883 ","244.757 ","270.707 ","241.950 ","198.837 ","237.419 ","262.424 ","224.980 ","reproductive health"
"      Anguilla",,,,,,,,,,,,,,,,,,,"0.004 ",,,,"reproductive health"
"      Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,"0.016 ","reproductive health"
"      Aruba",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Bahamas",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Barbados",,,,,,,,,,,,"0.294 ",,,"0.128 ","0.012 ",,,,,,,"reproductive health"
"      Belize",,,,,,,,,,"0.261 ",,,,"0.004 ","0.249 ","0.144 ","0.145 ","0.001 ","0.079 ","0.060 ","0.012 ",,"reproductive health"
"      Bermuda",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Costa Rica",,,"0.008 ","3.548 ",,"0.347 ","0.182 ","0.156 ","0.005 ",,"0.025 ","0.017 ","0.015 ","0.028 ","0.032 ",,,,"0.004 ","0.033 ","0.010 ",,"reproductive health"
"      Cuba",,,"0.584 ",,"0.026 ","0.151 ","0.973 ","1.195 ","1.245 ","0.108 ","0.075 ","0.135 ","0.290 ","0.080 ","0.243 ","0.068 ","0.046 ","0.044 ","0.084 ","0.115 ","0.174 ",,"reproductive health"
"      Dominica",,,,,,,,,,,,,,,,"0.012 ",,,,,,,"reproductive health"
"      Dominican Republic","0.061 ","3.829 ","9.878 ","6.185 ","8.016 ","7.143 ","11.557 ","6.512 ","8.414 ","17.069 ","6.773 ","9.052 ","12.190 ","13.843 ","14.243 ","18.927 ","22.964 ","25.717 ","12.562 ","13.949 ","15.442 ","15.051 ","reproductive health"
"      El Salvador",,"5.713 ","9.353 ","6.441 ","12.817 ","9.807 ","6.636 ","4.573 ","7.282 ","8.596 ","0.662 ","2.939 ","8.131 ","12.516 ","5.849 ","8.143 ","6.216 ","3.887 ","0.686 ","0.268 ","0.499 ","0.195 ","reproductive health"
"      Grenada",,,,,,,,,,,,,,,,"0.015 ",,,,,,,"reproductive health"
"      Guatemala",,"2.397 ","2.722 ","3.966 ","9.323 ","10.950 ","12.038 ","18.276 ","10.259 ","12.632 ","10.660 ","4.994 ","20.156 ","22.456 ","16.878 ","16.882 ","18.928 ","24.266 ","10.991 ","17.454 ","11.270 ","19.459 ","reproductive health"
"      Haiti","1.061 ","4.962 ","4.187 ","6.046 ","22.041 ","16.123 ","20.518 ","31.945 ","26.578 ","44.944 ","79.118 ","104.381 ","88.878 ","137.186 ","108.637 ","131.378 ","143.480 ","136.266 ","124.427 ","156.621 ","179.451 ","140.634 ","reproductive health"
"      Honduras",,"0.842 ","3.737 ","5.879 ","9.928 ","10.944 ","13.018 ","10.777 ","7.506 ","11.752 ","6.368 ","8.710 ","15.821 ","30.772 ","3.454 ","16.293 ","15.482 ","6.898 ","7.979 ","10.410 ","8.408 ","8.617 ","reproductive health"
"      Jamaica",,"2.278 ","4.141 ","5.242 ","3.608 ","5.550 ","23.696 ","4.858 ","5.084 ","4.758 ","0.598 ","2.456 ","2.979 ","1.383 ","2.795 ","4.569 ","6.700 ","5.547 ","4.316 ","4.747 ","4.580 ","2.029 ","reproductive health"
"      Mexico",,,"0.178 ","5.107 ","2.115 ","1.671 ","3.028 ","2.364 ","4.310 ","3.964 ","2.138 ","5.003 ","2.459 ","3.135 ","3.132 ","3.444 ","3.547 ","2.252 ","0.057 ","0.687 ","0.274 ","0.085 ","reproductive health"
"      Montserrat",,,,,,,,,,,"0.013 ",,,,,,,,,,,,"reproductive health"
"      Netherlands Antilles",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Nicaragua","4.519 ","2.443 ","8.249 ","16.036 ","9.138 ","7.963 ","18.056 ","24.187 ","18.345 ","12.883 ","7.586 ","16.573 ","19.698 ","22.626 ","16.215 ","10.668 ","13.784 ","4.742 ","4.770 ","1.283 ","2.179 ","6.734 ","reproductive health"
"      Panama",,,"0.008 ",,,"0.171 ","0.108 ","0.074 ","0.147 ","0.011 ","0.096 ","0.092 ","0.010 ","0.029 ","0.191 ","0.071 ","0.054 ","0.056 ","0.019 ","0.042 ","0.046 ",,"reproductive health"
"      Saint Kitts and Nevis",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      Saint Lucia",,,,,,,,,,,,,,,,"0.012 ",,,,,,,"reproductive health"
"      Saint Vincent and the Grenadines",,,,,,,,,,,,,,,"0.036 ","0.012 ",,,"0.001 ",,,,"reproductive health"
"      Trinidad and Tobago",,,,"0.029 ",,,,,,"0.525 ",,,"0.066 ","0.008 ","0.470 ","0.001 ",,,,,,,"reproductive health"
"      Turks and Caicos Islands",,,,,,,,,,,,,,,,,,,,,,,"reproductive health"
"      West Indies, regional",,"4.499 ",,,"0.975 ",,"30.650 ","14.371 ","15.595 ","9.712 ","10.898 ","10.887 ","13.080 ","15.635 ","14.033 ","20.521 ","23.183 ","20.522 ","16.849 ","14.246 ","21.165 ","17.855 ","reproductive health"
"      North & Central America, regional","0.399 ","8.345 ","7.682 ","8.264 ","6.520 ","4.286 ","6.402 ","8.157 ","20.218 ","8.879 ","5.946 ","21.617 ","5.658 ","7.113 ","14.298 ","13.586 ","16.178 ","11.752 ","16.010 ","17.504 ","18.915 ","14.304 ","reproductive health"
"    South America, Total","10.103 ","13.370 ","40.448 ","72.965 ","67.657 ","61.452 ","66.691 ","47.563 ","63.010 ","47.832 ","35.371 ","35.349 ","70.713 ","91.771 ","74.551 ","48.319 ","56.426 ","37.144 ","26.675 ","22.303 ","11.350 ","11.721 ","reproductive health"
"      Argentina","0.016 ","0.090 ","0.911 ","0.067 ",,"0.404 ","0.355 ","0.039 ",,"0.075 ","0.049 ","0.076 ",,"0.062 ","0.082 ","0.132 ","0.222 ","0.286 ","0.018 ","0.015 ","0.098 ","0.052 ","reproductive health"
"      Bolivia","1.087 ","6.322 ","15.607 ","26.084 ","22.515 ","19.917 ","26.554 ","14.147 ","6.193 ","11.039 ","3.876 ","3.899 ","17.580 ","19.517 ","19.160 ","14.408 ","21.604 ","12.861 ","4.814 ","5.810 ","1.916 ","1.107 ","reproductive health"
"      Brazil",,,"1.425 ","11.649 ","6.436 ","2.859 ","6.233 ","14.406 ","25.382 ","8.133 ","3.954 ","2.256 ","5.228 ","5.324 ","7.793 ","4.417 ","3.274 ","3.438 ","8.741 ","2.112 ","1.574 ","0.776 ","reproductive health"
"      Chile","0.125 ","0.106 ","0.170 ","0.146 ",,"0.019 ",,"0.020 ",,"0.261 ","0.000 ",,,"0.000 ","0.018 ","0.199 ","0.227 ",,"0.002 ","0.009 ","0.498 ",,"reproductive health"
"      Colombia",,,"0.008 ","0.518 ","2.110 ",,,"0.745 ",,"0.266 ","0.323 ","0.264 ","0.455 ","0.391 ","0.199 ","0.314 ","0.637 ","0.114 ","0.552 ","0.472 ","0.548 ","0.406 ","reproductive health"
"      Ecuador","4.091 ","4.164 ","8.637 ","7.535 ","8.005 ","11.824 ","2.532 ","1.680 ","1.862 ","0.830 ","1.830 ","1.878 ","3.210 ","4.793 ","2.322 ","0.787 ","0.622 ","1.782 ","0.608 ","0.972 ","1.172 ","0.012 ","reproductive health"
"      Guyana",,,,,,"0.272 ","1.062 ","2.869 ","7.836 ","11.190 ","17.512 ","17.813 ","24.331 ","23.613 ","17.824 ","11.090 ","14.562 ","9.677 ","7.706 ","4.250 ","3.887 ","3.665 ","reproductive health"
"      Paraguay",,,"1.084 ","15.438 ","3.201 ","5.495 ","3.754 ","2.915 ","2.554 ","3.891 ","3.521 ","3.026 ","3.667 ","6.677 ","8.227 ","4.571 ","0.135 ","1.138 ","0.045 ","3.330 ","0.028 ","0.539 ","reproductive health"
"      Peru","2.551 ","2.479 ","11.624 ","11.193 ","25.376 ","20.661 ","26.103 ","10.691 ","19.183 ","12.128 ","4.098 ","5.806 ","15.959 ","29.681 ","18.475 ","11.982 ","14.999 ","7.623 ","3.842 ","2.867 ","1.441 ","4.270 ","reproductive health"
"      Suriname",,,"0.038 ","0.010 ","0.001 ",,,,,,,,"0.071 ","0.736 ","0.154 ","0.191 ","0.033 ",,"0.006 ",,,"0.002 ","reproductive health"
"      Uruguay","0.002 ","0.209 ","0.008 ",,,,,,,"0.011 ",,"0.016 ","0.137 ","0.013 ","0.050 ","0.043 ","0.027 ","0.035 ","0.019 ","0.045 ",,"0.018 ","reproductive health"
"      Venezuela",,,"0.830 ",,"0.012 ",,"0.098 ","0.051 ",,"0.007 ","0.148 ","0.202 ",,,"0.045 ","0.022 ","0.013 ","0.014 ",,,"0.017 ","0.019 ","reproductive health"
"      South America, regional","2.233 ",,"0.107 ","0.326 ",,,,,,,"0.059 ","0.112 ","0.074 ","0.963 ","0.201 ","0.162 ","0.070 ","0.177 ","0.324 ","2.421 ","0.169 ","0.855 ","reproductive health"
"    America, regional",,,"28.220 ","5.047 ","2.385 ","0.950 ","9.576 ","3.415 ","10.969 ","8.399 ","2.939 ","5.342 ","25.952 ","30.650 ","20.987 ","10.041 ","7.041 ","2.503 ","12.927 ","10.964 ","16.115 ","5.329 ","reproductive health"
"  Asia, Total","201.006 ","118.056 ","300.966 ","424.206 ","300.016 ","388.309 ","343.455 ","407.743 ","460.985 ","486.052 ","678.708 ","883.263 ","1,400.352 ","1,051.298 ","792.408 ","648.248 ","776.706 ","821.653 ","626.590 ","706.428 ","683.051 ","538.964 ","reproductive health"
