"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"      Namibia","12.939 ","2.227 ","1.825 ","13.489 ","4.857 ","2.007 ","4.819 ","5.473 ","1.068 ","1.905 ","0.988 ","0.629 ","12.574 ","3.903 ","2.893 ","3.683 ","4.208 ","5.363 ","1.938 ","7.104 ","0.850 ","7.679 ","health"
"      Niger","12.501 ","9.571 ","5.341 ","6.629 ","4.049 ","6.048 ","3.816 ","16.373 ","8.505 ","11.977 ","10.181 ","46.336 ","16.852 ","20.863 ","25.063 ","27.227 ","15.439 ","19.719 ","31.278 ","9.726 ","15.114 ","3.275 ","health"
"      Nigeria","2.539 ","9.790 ","3.305 ","2.857 ","43.755 ","66.390 ","21.663 ","53.817 ","82.483 ","26.443 ","89.476 ","98.095 ","326.856 ","88.118 ","105.471 ","67.727 ","71.434 ","123.447 ","119.496 ","320.048 ","125.238 ","182.703 ","health"
"      Rwanda","10.640 ","10.753 ","16.554 ","21.351 ","15.241 ","14.004 ","11.018 ","43.029 ","13.458 ","14.115 ","27.213 ","28.271 ","47.017 ","63.888 ","47.400 ","48.573 ","45.591 ","26.037 ","45.888 ","52.844 ","55.468 ","80.300 ","health"
"      Saint Helena",,,"4.701 ",,"1.742 ","4.446 ","0.022 ","10.648 ","0.438 ",,,"0.015 ","0.101 ","9.105 ","1.063 ","3.410 ","0.071 ","14.901 ","14.132 ","14.121 ","24.076 ","35.923 ","health"
"      Sao Tome and Principe",,"0.018 ","0.288 ","0.188 ","7.925 ","4.999 ","4.644 ","5.120 ","3.496 ","3.954 ","2.632 ","2.240 ","1.852 ","2.218 ","1.819 ","2.213 ","2.837 ","2.673 ","2.750 ","3.064 ","2.936 ","2.568 ","health"
"      Senegal","9.710 ","3.104 ","18.635 ","34.580 ","22.997 ","14.102 ","55.156 ","48.224 ","41.042 ","35.550 ","35.330 ","80.340 ","36.357 ","39.901 ","55.555 ","61.919 ","76.019 ","51.630 ","43.634 ","50.162 ","73.569 ","144.618 ","health"
"      Seychelles","0.555 ",,"0.654 ","0.716 ","0.548 ","0.109 ","0.281 ","0.420 ","1.120 ","1.066 ","0.863 ","0.160 ","0.081 ","0.049 ","0.415 ","0.121 ","0.002 ","0.009 ","0.229 ",,,"0.029 ","health"
"      Sierra Leone","0.223 ","2.076 ","0.407 ","4.108 ","4.621 ","2.654 ","2.897 ","2.336 ","5.737 ","5.339 ","3.317 ","6.654 ","4.320 ","6.352 ","13.577 ","15.753 ","5.316 ","5.115 ","8.385 ","24.480 ","47.113 ","95.279 ","health"
"      Somalia","2.983 ","2.953 ","2.659 ","3.506 ","5.025 ","3.970 ","5.301 ","6.414 ","2.887 ","3.438 ","3.137 ","12.467 ","16.338 ","9.125 ","17.945 ","8.582 ","7.974 ","7.244 ","22.874 ","37.615 ","9.476 ","12.100 ","health"
"      South Africa","7.401 ","23.367 ","39.418 ","22.824 ","8.816 ","17.170 ","37.512 ","56.602 ","23.804 ","23.917 ","33.495 ","17.699 ","15.642 ","38.392 ","31.779 ","26.478 ","29.681 ","38.208 ","16.081 ","26.566 ","23.524 ","39.566 ","health"
"      South Sudan",,,,,,,,,,,,,,,,,"17.373 ","176.369 ","72.529 ","29.367 ","47.271 ","132.064 ","health"
"      Sudan","6.824 ","12.542 ","7.093 ","13.110 ","14.216 ","12.481 ","12.701 ","17.081 ","7.785 ","33.723 ","74.443 ","36.619 ","46.169 ","31.702 ","78.287 ","70.462 ","17.550 ","14.625 ","13.631 ","9.393 ","40.493 ","12.184 ","health"
"      Swaziland","0.032 ","0.852 ","4.527 ","0.001 ","2.798 ","0.253 ","0.980 ","0.499 ","0.569 ","0.324 ","0.108 ","0.016 ","0.423 ","0.128 ","0.141 ","1.408 ","1.736 ","1.380 ","0.607 ","0.854 ","0.151 ","2.394 ","health"
"      Tanzania","14.850 ","80.101 ","53.816 ","65.463 ","239.109 ","31.255 ","133.523 ","76.844 ","63.908 ","158.667 ","74.399 ","75.485 ","109.303 ","196.659 ","266.760 ","272.865 ","185.131 ","168.118 ","136.983 ","221.835 ","163.624 ","182.863 ","health"
"      Togo","0.186 ","3.977 ","0.924 ","4.373 ","0.741 ","3.284 ","2.613 ","8.467 ","1.003 ","2.494 ","2.814 ","0.713 ","0.927 ","1.625 ","7.411 ","12.724 ","3.128 ","3.265 ","3.576 ","4.621 ","2.885 ","8.211 ","health"
"      Uganda","42.664 ","83.144 ","41.622 ","35.123 ","47.208 ","70.362 ","39.562 ","16.140 ","133.365 ","24.365 ","113.693 ","28.744 ","49.557 ","95.018 ","49.101 ","85.760 ","78.575 ","93.060 ","102.163 ","84.314 ","99.240 ","131.549 ","health"
"      Zambia","96.047 ","30.818 ","4.257 ","9.344 ","37.195 ","39.260 ","114.106 ","97.803 ","16.571 ","36.480 ","53.050 ","216.680 ","50.286 ","31.325 ","41.713 ","50.345 ","50.851 ","63.898 ","105.107 ","42.831 ","82.583 ","41.526 ","health"
"      Zimbabwe","13.376 ","50.356 ","25.322 ","16.558 ","8.577 ","4.635 ","5.097 ","6.920 ","9.363 ","5.576 ","5.609 ","9.357 ","9.962 ","21.765 ","55.605 ","14.491 ","28.014 ","18.662 ","25.569 ","32.301 ","15.617 ","82.350 ","health"
"      South of Sahara, regional","5.880 ","18.068 ","26.531 ","46.224 ","11.189 ","54.629 ","38.043 ","64.418 ","112.130 ","42.580 ","58.688 ","177.710 ","54.396 ","30.927 ","146.003 ","72.390 ","155.392 ","69.424 ","231.894 ","172.950 ","784.267 ","279.669 ","health"
"    Africa, regional","4.244 ","39.394 ","47.386 ","50.387 ","51.196 ","17.558 ","54.639 ","17.132 ","97.421 ","55.224 ","19.181 ","17.617 ","156.615 ","95.491 ","46.634 ","19.806 ","15.460 ","21.582 ","36.736 ","65.393 ","121.346 ","49.835 ","health"
"  America, Total","440.317 ","253.696 ","370.548 ","284.810 ","357.454 ","206.207 ","188.387 ","372.320 ","261.175 ","201.749 ","376.209 ","321.154 ","225.895 ","256.249 ","242.610 ","274.821 ","420.199 ","334.915 ","563.738 ","200.400 ","172.924 ","346.227 ","health"
